id,pre_test_abortion,post_test_abortion,N1_H_R,N1_H_LA,N1_H_LR,N1_H_B,N1_H_T,N2_H_R,N2_H_LA,N2_H_LR,N2_H_B,N2_H_T,N3_H_R,N3_H_LA,N3_H_LR,N3_H_B,N3_H_T,N4_H_R,N4_H_LA,N4_H_LR,N4_H_B,N4_H_T,N5_H_R,N5_H_LA,N5_H_LR,N5_H_B,N5_H_T,N6_H_R,N6_H_LA,N6_H_LR,N6_H_B,N6_H_T,N7_H_R,N7_H_LA,N7_H_LR,N7_H_B,N7_H_T,N8_H_R,N8_H_LA,N8_H_LR,N8_H_B,N8_H_T,N9_H_R,N9_H_LA,N9_H_LR,N9_H_B,N9_H_T,N10_H_R,N10_H_LA,N10_H_LR,N10_H_B,N10_H_T,N11_H_R,N11_H_LA,N11_H_LR,N11_H_B,N11_H_T,N12_H_R,N12_H_LA,N12_H_LR,N12_H_B,N12_H_T,N13_H_R,N13_H_LA,N13_H_LR,N13_H_B,N13_H_T,N14_H_R,N14_H_LA,N14_H_LR,N14_H_B,N14_H_T,N15_H_R,N15_H_LA,N15_H_LR,N15_H_B,N15_H_T,N16_H_R,N16_H_LA,N16_H_LR,N16_H_B,N16_H_T,N1_A_R,N1_A_LA,N1_A_LR,N1_A_B,N1_A_T,N2_A_R,N2_A_LA,N2_A_LR,N2_A_B,N2_A_T,N3_A_R,N3_A_LA,N3_A_LR,N3_A_B,N3_A_T,N4_A_R,N4_A_LA,N4_A_LR,N4_A_B,N4_A_T,N5_A_R,N5_A_LA,N5_A_LR,N5_A_B,N5_A_T,N6_A_R,N6_A_LA,N6_A_LR,N6_A_B,N6_A_T,N7_A_R,N7_A_LA,N7_A_LR,N7_A_B,N7_A_T,N8_A_R,N8_A_LA,N8_A_LR,N8_A_B,N8_A_T,N9_A_R,N9_A_LA,N9_A_LR,N9_A_B,N9_A_T,N10_A_R,N10_A_LA,N10_A_LR,N10_A_B,N10_A_T,N11_A_R,N11_A_LA,N11_A_LR,N11_A_B,N11_A_T,N12_A_R,N12_A_LA,N12_A_LR,N12_A_B,N12_A_T,N13_A_R,N13_A_LA,N13_A_LR,N13_A_B,N13_A_T,N14_A_R,N14_A_LA,N14_A_LR,N14_A_B,N14_A_T,N15_A_R,N15_A_LA,N15_A_LR,N15_A_B,N15_A_T,N16_A_R,N16_A_LA,N16_A_LR,N16_A_B,N16_A_T,Gender,Age,education,manipulation_check
1,Raczej się nie zgadzam,Raczej się zgadzam,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,4,4,1,1,1,4,3,1,1,1,5,4,1,1,1,4,4,1,1,1,4,3,1,1,1,4,4,1,1,1,4,3,1,1,1,4,3,1,1,1,4,3,1,1,1,4,3,1,1,1,3,3,2,2,1,3,3,1,1,1,4,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mężczyzna,22,Średnie - podczas studiów,Tak
2,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,3,4,2,4,3,3,3,3,4,2,3,2,4,3,3,4,2,2,1,3,4,5,3,3,2,2,2,4,4,3,2,2,4,3,2,3,2,4,3,4,4,4,2,1,3,4,4,3,3,3,2,2,4,5,4,4,3,2,4,1,1,1,5,3,4,1,1,5,5,4,1,5,3,3,3,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobieta,21,Średnie - podczas studiów,Nie wiem
3,Raczej się zgadzam,Raczej się zgadzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,2,4,4,2,1,3,2,4,1,5,4,1,2,2,4,3,4,4,2,1,3,5,2,3,3,1,2,3,4,3,2,4,4,2,2,1,3,2,3,4,3,4,4,2,3,2,2,1,4,4,2,4,2,4,1,4,4,1,5,4,2,2,2,4,2,4,4,1,5,1,4,4,2,3,3,4,Mężczyzna,21,Średnie - podczas studiów,Nie
4,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,2,3,3,3,3,5,5,1,4,3,4,4,3,4,3,4,4,3,3,3,5,5,1,4,3,5,5,2,2,3,1,1,4,1,3,1,1,5,4,3,4,4,1,4,3,5,5,1,1,2,5,5,1,1,2,5,5,1,4,3,1,1,5,5,3,1,1,5,1,3,1,1,5,4,3,1,1,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mężczyzna,18,Średnie - podczas studiów,Nie
5,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,3,5,5,2,5,5,2,4,2,5,4,3,3,3,3,3,1,1,5,5,3,5,5,3,5,5,3,3,4,5,3,3,3,3,3,3,5,4,3,5,5,1,1,5,5,3,3,2,4,3,2,5,4,4,3,4,1,1,5,5,5,1,1,5,5,5,1,1,5,5,5,1,5,3,5,4,Kobieta,19,Średnie - podczas studiów,Tak
6,Raczej się nie zgadzam,Raczej się zgadzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,4,4,4,3,3,4,5,5,1,3,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,2,2,4,3,4,4,4,2,3,4,4,4,2,3,3,4,3,4,4,3,2,2,3,3,5,2,2,3,4,5,2,2,5,5,3,4,3,4,4,4,2,2,4,4,4,3,3,5,5,5,Kobieta,21,Średnie - podczas studiów,Tak
7,Raczej się nie zgadzam,Raczej się nie zgadzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,1,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,2,4,1,3,3,3,3,3,5,4,2,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,Kobieta,18,Średnie - podczas studiów,Nie
8,Zdecydowanie się zgadzam,Zdecydowanie się nie zgadzam,4,4,4,4,4,5,5,5,3,3,3,3,3,3,3,5,4,2,3,3,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,5,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,1,1,1,3,3,1,1,1,5,5,1,1,1,5,5,1,1,1,1,5,1,1,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inna,18,Średnie - podczas studiów,Nie wiem
9,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,2,4,5,5,1,5,5,5,5,1,3,1,5,5,1,3,2,4,3,2,4,5,5,5,1,5,2,5,5,1,5,5,5,5,1,3,4,5,2,2,1,2,2,3,2,2,4,4,5,1,4,4,3,4,3,3,5,1,1,5,5,4,1,1,5,5,4,1,2,5,5,5,2,3,3,1,2,Kobieta,25,Wyższe,Tak
10,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,4,4,3,4,2,5,4,2,5,1,4,4,1,5,1,4,4,2,3,1,5,5,1,5,1,4,4,2,4,1,4,2,3,4,2,3,2,3,4,1,5,5,1,5,1,5,4,1,5,1,4,3,3,4,2,4,4,2,4,2,1,1,5,5,1,3,1,5,4,1,1,1,5,5,4,3,1,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobieta,21,Średnie - podczas studiów,Nie
11,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,3,4,5,1,4,3,4,2,4,4,2,3,3,4,3,3,1,2,5,4,3,4,4,1,3,2,4,4,1,4,1,4,4,3,3,2,4,4,1,4,2,2,4,2,3,2,3,4,2,3,2,4,3,3,3,4,1,1,5,4,4,2,1,4,4,3,1,1,5,4,5,2,4,4,3,4,Kobieta,23,Średnie - podczas studiów,Tak
12,"Ani się nie zgadzam, ani się zgadzam",Raczej się nie zgadzam,3,3,4,3,3,4,4,3,3,3,3,2,3,3,3,3,2,4,3,3,4,4,3,4,3,3,2,3,3,3,2,2,3,3,3,4,3,2,3,2,3,2,3,3,4,2,3,3,2,3,2,3,4,3,3,3,3,4,3,3,3,3,3,2,3,4,4,3,4,3,2,2,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mężczyzna,21,Średnie - podczas studiów,Nie
13,Raczej się zgadzam,Raczej się zgadzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,3,3,4,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,3,4,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,Inna,18,Średnie - podczas studiów,Nie wiem
14,Zdecydowanie się zgadzam,Zdecydowanie się zgadzam,2,2,4,3,4,4,4,2,3,2,4,4,3,3,3,4,4,2,4,2,5,5,1,3,3,4,5,2,4,2,1,1,5,3,3,2,2,3,3,3,5,5,1,5,4,5,4,1,3,4,5,4,1,4,4,5,5,2,5,2,1,1,5,4,4,1,1,5,5,3,1,1,5,5,4,1,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobieta,20,Średnie - podczas studiów,Nie